Time,Open,High,Low,Close,Adj Close,Volume
12/9/2016,0.007091,0.007162,0.007007,0.007135,0.007135,2421860
12/10/2016,0.007138,0.007145,0.006816,0.006816,0.006816,1297860
12/11/2016,0.006816,0.006998,0.006731,0.006744,0.006744,978511
12/12/2016,0.006744,0.006809,0.006743,0.006778,0.006778,1449640
12/13/2016,0.00678,0.006781,0.006678,0.006708,0.006708,1946660
12/14/2016,0.006704,0.006753,0.00669,0.006705,0.006705,2002770
12/15/2016,0.006699,0.006699,0.006606,0.006662,0.006662,1050570
12/16/2016,0.006662,0.006791,0.006661,0.00671,0.00671,2575390
12/17/2016,0.006704,0.006711,0.006535,0.006541,0.006541,1838990
12/18/2016,0.006541,0.00658,0.006533,0.006574,0.006574,1194400
12/19/2016,0.006582,0.006582,0.006534,0.006545,0.006545,1109670
12/20/2016,0.00654,0.006543,0.006481,0.0065,0.0065,2284690
12/21/2016,0.006498,0.006498,0.006417,0.006445,0.006445,2300840
12/22/2016,0.006452,0.006466,0.006324,0.006363,0.006363,2897110
12/23/2016,0.006362,0.006436,0.006281,0.006286,0.006286,3514540
12/24/2016,0.006275,0.006371,0.006234,0.006349,0.006349,2495670
12/25/2016,0.00635,0.006453,0.006334,0.006444,0.006444,2188780
12/26/2016,0.006443,0.006481,0.006323,0.006326,0.006326,1640840
12/27/2016,0.006326,0.006326,0.006188,0.006199,0.006199,2471000
12/28/2016,0.006193,0.006336,0.006126,0.006173,0.006173,2064130
12/29/2016,0.00618,0.006354,0.006167,0.006341,0.006341,1345050
12/30/2016,0.006352,0.006455,0.006338,0.006426,0.006426,1379470
12/31/2016,0.006417,0.006538,0.006387,0.006449,0.006449,272884
1/1/2017,0.006523,0.006702,0.006334,0.006368,0.006368,418978
1/2/2017,0.006386,0.006437,0.006281,0.006311,0.006311,1046250
1/3/2017,0.00629,0.006392,0.006278,0.006386,0.006386,1014830
1/4/2017,0.006385,0.006656,0.006385,0.00657,0.00657,1642730
1/5/2017,0.006572,0.00658,0.006031,0.006201,0.006201,4058170
1/6/2017,0.006197,0.006394,0.006109,0.006315,0.006315,1746150
1/7/2017,0.006351,0.006404,0.006133,0.006366,0.006366,1351030
1/8/2017,0.006383,0.006383,0.006232,0.006233,0.006233,554133
